Colonna ;Tipo aggiornamento;Posizione debitoria esterna;Data Scadenza;Data Inizio Validità ;Data Fine Validità;Importo totale da pagare;Importo componente 1;Causale componente 1;Anno accertamento (componente 1);Numero accertamento (componente 1);Importo componente 2;Causale componente 2;Anno accertamento (componente 2);Numero accertamento (componente 2);Importo componente 3;Causale componente 3;Anno accertamento (componente 3);Numero accertamento (componente 3);Importo componente 4;Causale componente 4;Anno accertamento (componente 4);Numero accertamento (componente 4);Importo componente 5;Causale componente 5;Anno accertamento (componente 5);Numero accertamento (componente 5);Nome (riferimento pagamento 1);Valore (riferimento pagamento 1);Nome (riferimento pagamento 2);Valore (riferimento pagamento 2);Nome (riferimento pagamento 3);Valore (riferimento pagamento 3);Nome (riferimento pagamento 4);Valore (riferimento pagamento 4);Nome (riferimento pagamento 5);Valore (riferimento pagamento 5);Descrizione Causale Versamento;Motivazione;Tipo soggetto debitore;Codice fiscale o Partita Iva del soggetto debitore;Cognome soggetto debitore;Nome  soggetto debitore;Ragione sociale soggetto debitore;Indirizzo debitore;Civico debitore;CAP debitore;Localita debitore;Provincia debitore;Nazione debitore;email debitore
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Le colonne da AG a AP sono da non utilizzare in quanto sono dati aggiuntivi in corso di definizione;Le colonne da AG a AP sono da non utilizzare in quanto sono dati aggiuntivi in corso di definizione;Le colonne da AG a AP sono da non utilizzare in quanto sono dati aggiuntivi in corso di definizione;Le colonne da AG a AP sono da non utilizzare in quanto sono dati aggiuntivi in corso di definizione;Le colonne da AG a AP sono da non utilizzare in quanto sono dati aggiuntivi in corso di definizione;Le colonne da AG a AP sono da non utilizzare in quanto sono dati aggiuntivi in corso di definizione;Le colonne da AG a AP sono da non utilizzare in quanto sono dati aggiuntivi in corso di definizione;Le colonne da AG a AP sono da non utilizzare in quanto sono dati aggiuntivi in corso di definizione;Le colonne da AG a AP sono da non utilizzare in quanto sono dati aggiuntivi in corso di definizione;Le colonne da AG a AP sono da non utilizzare in quanto sono dati aggiuntivi in corso di definizione;;;;;;;;;;;;;;
Descrizione;Tipo aggiornamento;Identificativo univoco della posizione debitoria emesso dall’ente creditore;Data scadenza;Data inizio validità;Data Fine Validità;Importo totale da pagare;Importo della singola componente;Descrizione della causale collegata alla componente;Riferimento contabile di contabilizzazione dell'entrata;Numero intero;Numero intero;Importo della singola componente;Descrizione della causale collegata alla componente;Riferimento contabile di contabilizzazione dell'entrata;Numero intero;Numero intero;Importo della singola componente;Descrizione della causale collegata alla componente;Riferimento contabile di contabilizzazione dell'entrata;Numero intero;Numero intero;Importo della singola componente;Descrizione della causale collegata alla componente;Riferimento contabile di contabilizzazione dell'entrata;Numero intero;Numero intero;Importo della singola componente;Descrizione della causale collegata alla componente;Riferimento contabile di contabilizzazione dell'entrata;Numero intero;Numero intero;Dato utilizzato per individuare la multa;;;;;;;;;;Descrizione estesa della causale di versamento;Descrizione estesa motivo aggiornamento;"Tipo soggetto debitore


 (aggiornamento possibile per posizioni debitorie anonime)";"Codice fiscale o Partita Iva del soggetto debitore 

 (aggiornamento possibile per posizioni debitorie anonime)";"Cognome del soggetto debitore

 (aggiornamento possibile per posizioni debitorie anonime)";"Nome del soggetto debitore

 (aggiornamento possibile per posizioni debitorie anonime)";"Ragione sociale del soggetto debitore

 (aggiornamento possibile per posizioni debitorie anonime)";Indirizzo del debitore;Numero civico dell’indirizzo del debitore;CAP dell’indirizzo del debitore;Localita dell’indirizzo del debitore;Provincia dell’indirizzo del debitore;Codice nazione dell’indirizzo del debitore (Standard ISO 3166);Indirizzo di posta elettronica del debitore
Formato;Testo (valori: A=Annullamento, M=Modifica) ;Testo ;Data (formato gg/mm/aaaa);Data (formato gg/mm/aaaa);Data (formato gg/mm/aaaa);Numero con due decimali, senza separatore delle migliaia;Numero con due decimali, senza separatore delle migliaia;Testo ;Testo ;4;35;Numero con due decimali, senza separatore delle migliaia;Testo ;Testo ;4;35;Numero con due decimali, senza separatore delle migliaia;Testo ;Testo ;4;35;Numero con due decimali, senza separatore delle migliaia;Testo ;Testo ;4;35;Numero con due decimali, senza separatore delle migliaia;Testo ;Testo ;4;35;Testo ;Testo ;Testo ;Testo ;Testo ;Testo ;Testo ;Testo ;Testo ;Testo ;Testo ;Testo ;Testo (valore ammessi: F=Persona fisica, G=Persona giuridica);Testo;Testo;Testo;Testo;Testo;Testo;Testo;Testo;Testo;Testo;Testo 
Dimensione;1;50;10;10;10;Intero(8),decimali(2);Intero(8),decimali(2);80;140;Si solo se esiste la componente e il numero accertamento della componente;Si solo se esiste la componente e l'anno accertamento della componente;Intero(8),decimali(2);80;140;Si solo se esiste la componente e il numero accertamento della componente;Si solo se esiste la componente e l'anno accertamento della componente;Intero(8),decimali(2);80;140;Si solo se esiste la componente e il numero accertamento della componente;Si solo se esiste la componente e l'anno accertamento della componente;Intero(8),decimali(2);80;140;Si solo se esiste la componente e il numero accertamento della componente;Si solo se esiste la componente e l'anno accertamento della componente;Intero(8),decimali(2);80;140;Si solo se esiste la componente e il numero accertamento della componente;Si solo se esiste la componente e l'anno accertamento della componente;70;70;70;70;70;70;70;70;70;70;100;400;1;35;70;70;70;70;16;16;35;35;2;256
Obbligatorio;Si;Si;No;No;No;No;Si - solo se esiste la componente;Si - solo se esiste la componente;Si - solo se esiste la componente;;;Si - solo se esiste la componente;Si - solo se esiste la componente;Si - solo se esiste la componente;;;Si - solo se esiste la componente;Si - solo se esiste la componente;Si - solo se esiste la componente;;;Si - solo se esiste la componente;Si - solo se esiste la componente;Si - solo se esiste la componente;;;Si - solo se esiste la componente;Si - solo se esiste la componente;Si - solo se esiste la componente;;;;;;;;;;;;;No ;No ;NO;si - solo se componente 'Tipo Soggetto Debitore' esiste;si -solo se componente 'Tipo Soggetto Debitore' = F;si -solo se componente 'Tipo Soggetto Debitore' = F;si -solo se componente 'Tipo Soggetto Debitore' = G;NO ;NO ;NO ;NO ;NO ;NO ;NO 
Tipo aggiornamento;;Colonna tipo aggiornamento = A, M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = A, M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;Colonna tipo aggiornamento = M;;;;;;;
;;;;;;;;; ;;;;; ;;;;; ;;;;; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;
Esempio di file;Tipo aggiornamento;Posizione debitoria esterna;Data scadenza;Data Inizio Validità ;Data Fine Validità;Importo totale da pagare;Importo componente 1;Causale componente 1;Anno accertamento 1;Numero accertamento 1;Importo componente 2;Causale componente 2;Anno accertamento 2;Numero accertamento 2;Importo componente 3;Causale componente 3;Anno accertamento 3;Numero accertamento 3;Importo componente 4;Causale componente 4;Anno accertamento 4;Numero accertamento 4;Importo componente 5;Causale componente 5;Anno accertamento 5;Numero accertamento 5;Nome (riferimento pagamento 1);Valore (riferimento pagamento 1);Nome (riferimento pagamento 2);Valore (riferimento pagamento 2);Nome (riferimento pagamento 3);Valore (riferimento pagamento 3);Nome (riferimento pagamento 4);Valore (riferimento pagamento 4);Nome (riferimento pagamento 5);Valore (riferimento pagamento 5);Descrizione causale versamento;Motivazione;Tipo soggetto debitore;Codice fiscale o Partita Iva del soggetto debitore;Cognome soggetto debitore;Nome  soggetto debitore;Ragione sociale soggetto debitore;Indirizzo debitore;Civico debitore;CAP debitore;Localita debitore;Provincia debitore;Nazione debitore;email debitore
;A;P1-200;;;;;;;;;;;;;;; ;;;;; ;;;;; ;;;;;;;;;;;;;;;;Esempio annullamento posizione debitoria;F;RSSMRA66A01B990I;Rossi ;Mario; ;Via dei ginepri;10/A;15121;Alessandria;AL;IT;rossi.mario@mail.it
;M;P3-201;; ;30/12/2019;250,00;220,00;Quota dovuta;9/100;2017;12;30,00;Quota interessi;9/200;2017;22; ;;;;; ;;;;; ;;;;;;;;;;;;;;;;Esempio modifica data fine validità, importo e ripartizione voci ;G;00000000000;;;Wellness & Sport;Piazza Montessori;16;15121;Alessandria;AL;IT;wellness@mail.it
